Gemeente;open vld;N-VA;VLAAMS BELANG;CD&V;PVDA;GROEN;SP.A;DierAnimal;de coöperatie;RP;Be.One;UF;PRO;PV&S;D-SA;Piratenpartij;Genoeg vr iedereen;Burgerlijst;sp.a-one.brussels
Wemmel;1403;1683;483;560;373;1287;555;227;0;0;0;1581;42;0;0;0;0;0;0
Wervik;1159;1617;2635;2656;551;589;2394;132;0;0;0;0;0;0;0;85;0;0;0
Westerlo;1357;4972;3798;3636;790;1120;1107;167;0;0;11;0;0;9;4;54;42;35;0
Wetteren;2904;3859;3742;2038;713;1609;1920;174;22;11;30;0;0;0;0;0;0;0;0
Wevelgem;1559;3832;4630;6464;787;1733;2360;148;0;0;0;0;0;0;0;110;0;0;0
Wezembeek-Oppem;827;692;187;409;109;1263;199;178;0;0;0;2907;11;0;0;0;0;0;0
Wichelen;2480;1550;1780;753;287;495;705;63;18;5;9;0;0;0;0;0;0;0;0
Wielsbeke;551;1422;1716;1944;171;248;465;47;0;0;0;0;0;0;0;29;0;0;0
Wijnegem;528;2502;1266;582;345;706;373;55;0;0;2;0;0;9;10;33;15;10;0
Willebroek;1375;4465;2756;1706;1004;1395;2764;138;0;0;79;0;0;20;13;75;36;21;0
Wingene;851;1691;2081;3706;228;405;720;61;0;0;0;0;0;0;0;45;0;0;0
Wommelgem;807;3537;1682;620;407;763;441;61;0;0;8;0;0;14;4;34;21;13;0
Wortegem-Petegem;1286;1140;715;624;87;265;415;31;2;3;2;0;0;0;0;0;0;0;0
Wuustwezel;1182;4407;2886;2768;549;780;572;105;0;0;3;0;0;8;2;59;27;22;0
Zandhoven;853;3422;1822;1447;325;647;393;81;0;0;5;0;0;5;1;38;17;17;0
Zaventem;3126;3750;1274;1728;891;2162;1184;326;0;0;0;2173;95;0;0;0;0;0;0
Zedelgem;1798;2830;3190;4593;386;1135;1721;152;0;0;0;0;0;0;0;96;0;0;0
Zele;1689;3081;2879;2512;532;1116;1127;136;22;8;44;0;0;0;0;0;0;0;0
Zelzate;792;965;1991;610;1412;249;1672;75;4;3;23;0;0;0;0;0;0;0;0
Zemst;2208;5019;2474;2141;667;1719;1262;172;0;0;0;59;91;0;0;0;0;0;0
Zoersel;1336;6278;2686;2182;471;1217;655;104;0;0;6;0;0;3;2;58;37;25;0
Zonhoven;2652;3481;3122;1697;724;883;1505;0;0;16;0;0;49;0;16;0;0;0;0
Zonnebeke;1056;1422;1947;2346;223;372;1077;64;0;0;0;0;0;0;0;39;0;0;0
Zottegem;2840;4788;3057;2063;514;1417;3494;150;11;20;17;0;0;0;0;0;0;0;0
Zoutleeuw;764;1368;1284;1200;201;323;747;60;0;0;0;3;9;0;0;0;0;0;0
Zuienkerke;256;443;378;543;67;110;174;24;0;0;0;0;0;0;0;7;0;0;0
Zulte;2410;2251;2236;1818;301;722;821;105;7;14;19;0;0;0;0;0;0;0;0
Zutendaal;529;1161;988;1080;262;295;351;0;0;4;0;0;15;0;8;0;0;0;0
Zwalm;1405;1211;990;590;201;558;664;62;6;4;6;0;0;0;0;0;0;0;0
Zwevegem;2106;3102;3525;4505;615;1312;1747;160;0;0;0;0;0;0;0;73;0;0;0
Zwijndrecht;749;4069;2670;1057;877;1421;1253;102;0;0;10;0;0;16;66;64;31;27;0
